Username;Number of Review;Number of Product;Response Chat (Percentage);Response Chat (Category);Length of Stay;Number of Follower;Product Category;Address;Rating;Status
globalphonestore_;611;198;96%;hitungan jam;19 bulan lalu;7,9RB;Komputer & Aksesoris;KOTA BANDUNG - COBLONG, JAWA BARAT, ID;4.8 (611 Penilaian);Regular
kiete;152;95;90%;hitungan jam;4 tahun lalu;1,8RB;Komputer & Aksesoris;KOTA TANGERANG - TANGERANG, BANTEN, ID;4.7 (152 Penilaian);Regular
century.komputer;732;86;96%;hitungan jam;23 bulan lalu;1,7RB;Komputer & Aksesoris;KOTA PEKANBARU - TAMPAN, RIAU, ID;4.6 (732 Penilaian);Regular
batavia_laptop;747;129;97%;hitungan jam;3 tahun lalu;1,5RB;Komputer & Aksesoris;KOTA JAKARTA PUSAT - SAWAH BESAR, DKI JAKARTA, ID;4.9 (747 Penilaian);Regular
annamuthia;30;21;96%;hitungan jam;9 bulan lalu;50;Komputer & Aksesoris;KOTA JAKARTA UTARA - PADEMANGAN, DKI JAKARTA, ID;4.9 (30 Penilaian);Regular
technoca_id;14;86;96%;hitungan jam;7 bulan lalu;488;Komputer & Aksesoris;KOTA BANDUNG - KIARACONDONG, JAWA BARAT, ID;4.9 (14 Penilaian);Regular
prapatan_22;19;18;97%;hitungan menit;8 bulan lalu;71;Komputer & Aksesoris;KOTA JAKARTA UTARA - KOJA, DKI JAKARTA, ID;5.0 (19 Penilaian);Regular
grosiriaofficialstore;136;392;90%;hitungan jam;12 bulan lalu;105;Komputer & Aksesoris;KOTA SURABAYA - TAMBAKSARI, JAWA TIMUR, ID;4.9 (136 Penilaian);Star
technostarplus;4;2;17%;hitungan jam;38 hari lalu;1;Komputer & Aksesoris;KOTA TANGERANG SELATAN - SERPONG, BANTEN, ID;5.0 (4 Penilaian);Regular
desyree27;177;93;95%;hitungan jam;4 tahun lalu;2,9RB;Komputer & Aksesoris;KOTA JAKARTA PUSAT - SAWAH BESAR, DKI JAKARTA, ID;4.8 (177 Penilaian);Regular
milanbarok;272;366;37%;hitungan jam;5 tahun lalu;743;Komputer & Aksesoris;KOTA SURABAYA - BENOWO, JAWA TIMUR, ID;4.5 (272 Penilaian);Regular
akhdan_lopo;25;53;91%;hitungan jam;12 bulan lalu;27;Komputer & Aksesoris;KOTA JAKARTA UTARA - PADEMANGAN, DKI JAKARTA, ID;4.7 (25 Penilaian);Regular
riskayuliee;306;170;56%;hitungan jam;28 bulan lalu;503;Komputer & Aksesoris;KOTA BEKASI - JATIASIH, JAWA BARAT, ID;4.6 (306 Penilaian);Regular
clavier;7,8RB;1,1RB;97%;hitungan jam;5 tahun lalu;3,6RB;Komputer & Aksesoris;KOTA SURABAYA - LAKAR SANTRI, JAWA TIMUR, ID;4.8 (7,8RB Penilaian);Regular
asusofficialshop;10,2RB;586;100%;hitungan menit;3 tahun lalu;178,7RB;Komputer & Aksesoris;KOTA JAKARTA UTARA;4.8 (10,2RB Penilaian);Shopee Mall
cahayaabadicomputer;275;92;89%;hitungan jam;20 bulan lalu;542;Komputer & Aksesoris;KOTA JAKARTA PUSAT - SAWAH BESAR, DKI JAKARTA, ID;4.6 (275 Penilaian);Regular
alie_claser;67;76;98%;hitungan jam;22 bulan lalu;169;Komputer & Aksesoris;KOTA BOGOR - BOGOR UTARA - KOTA, JAWA BARAT, ID;4.9 (67 Penilaian);Regular
vegasautolamp;169;170;69%;hitungan jam;4 tahun lalu;2,8RB;Komputer & Aksesoris;KOTA JAKARTA UTARA - PADEMANGAN, DKI JAKARTA, ID;4.7 (169 Penilaian);Regular
cahayamataharicomputers;2,2RB;848;98%;hitungan jam;4 tahun lalu;473;Komputer & Aksesoris;KOTA JAKARTA SELATAN - SETIA BUDI, DKI JAKARTA, ID;4.9 (2,2RB Penilaian);Regular
dwi.jayanto;30;23;95%;hitungan jam;4 tahun lalu;64;Komputer & Aksesoris;KOTA JAKARTA UTARA - KOJA, DKI JAKARTA, ID;5.0 (30 Penilaian);Regular
